2015-09-24,ru.smarttransport.citytransport,1,1,1
2015-12-03,ru.smarttransport.citytransport,1,1,0
2016-01-21,ru.smarttransport.citytransport,3,1,0
2016-01-29,ru.smarttransport.citytransport,3,1,0
2016-02-06,ru.smarttransport.citytransport,3,1,0
2016-02-10,ru.smarttransport.citytransport,4,33,0
2016-02-11,ru.smarttransport.citytransport,4,9,0
2016-02-12,ru.smarttransport.citytransport,4,1,0
2016-02-13,ru.smarttransport.citytransport,4,2,0
2016-02-14,ru.smarttransport.citytransport,4,1,0
2016-02-15,ru.smarttransport.citytransport,4,2,0
2016-02-18,ru.smarttransport.citytransport,4,1,0
2016-02-19,ru.smarttransport.citytransport,4,3,0
2016-02-20,ru.smarttransport.citytransport,4,2,0
2016-02-21,ru.smarttransport.citytransport,4,2,0
2016-02-25,ru.smarttransport.citytransport,4,1,0
2016-02-27,ru.smarttransport.citytransport,4,1,0
2016-04-22,ru.smarttransport.citytransport,6,2,0
2016-05-15,ru.smarttransport.citytransport,6,1,0
2016-06-04,ru.smarttransport.citytransport,6,1,0
2016-06-05,ru.smarttransport.citytransport,6,1,0
2016-07-11,ru.smarttransport.citytransport,7,1,0
2016-07-30,ru.smarttransport.citytransport,7,1,0
2016-09-15,ru.smarttransport.citytransport,7,1,0
2016-10-06,ru.smarttransport.citytransport,7,1,0
2016-10-10,ru.smarttransport.citytransport,7,1,0
2016-12-22,ru.smarttransport.citytransport,7,1,0
2017-01-22,ru.smarttransport.citytransport,7,1,0
2017-02-04,ru.smarttransport.citytransport,8,1,0
2017-02-07,ru.smarttransport.citytransport,8,1,0
2017-02-08,ru.smarttransport.citytransport,8,1,0
2017-02-13,ru.smarttransport.citytransport,8,1,0
2017-02-15,ru.smarttransport.citytransport,8,3,0
2017-02-16,ru.smarttransport.citytransport,8,1,0
2017-02-17,ru.smarttransport.citytransport,8,2,0
2017-02-25,ru.smarttransport.citytransport,8,1,0
2017-02-26,ru.smarttransport.citytransport,8,1,0
2017-03-04,ru.smarttransport.citytransport,8,1,0
2017-03-12,ru.smarttransport.citytransport,8,1,0
2017-03-15,ru.smarttransport.citytransport,8,1,0
2017-03-19,ru.smarttransport.citytransport,8,1,0
2017-03-22,ru.smarttransport.citytransport,10,1,0
2017-03-30,ru.smarttransport.citytransport,12,1,0
2017-04-05,ru.smarttransport.citytransport,12,1,0
2017-04-11,ru.smarttransport.citytransport,12,1,0
2017-04-24,ru.smarttransport.citytransport,15,1,0
2017-04-26,ru.smarttransport.citytransport,8,1,0
2017-04-28,ru.smarttransport.citytransport,18,1,0
2017-05-01,ru.smarttransport.citytransport,18,1,0
2017-05-06,ru.smarttransport.citytransport,18,1,0
2017-05-10,ru.smarttransport.citytransport,18,1,0
2017-05-11,ru.smarttransport.citytransport,18,1,0
2017-05-14,ru.smarttransport.citytransport,18,1,0
2017-05-15,ru.smarttransport.citytransport,18,2,0
2017-05-18,ru.smarttransport.citytransport,19,1,0
2017-05-25,ru.smarttransport.citytransport,20,1,0
2017-05-26,ru.smarttransport.citytransport,20,1,0
2017-06-10,ru.smarttransport.citytransport,20,1,0
