2016-04-12,ru.smarttransport.citytransport,6,419,10,7,0,410,587,9,7
2016-04-13,ru.smarttransport.citytransport,1,9,0,0,0,9,191,0,0
2016-04-13,ru.smarttransport.citytransport,2,2,0,0,0,2,5,0,0
2016-04-13,ru.smarttransport.citytransport,3,2,0,0,0,2,55,0,0
2016-04-13,ru.smarttransport.citytransport,4,28,0,0,0,28,638,0,0
2016-04-13,ru.smarttransport.citytransport,5,32,0,0,0,31,116,0,0
2016-04-13,ru.smarttransport.citytransport,6,426,12,7,2,416,600,11,7
2016-04-14,ru.smarttransport.citytransport,1,9,0,0,0,9,190,0,0
2016-04-14,ru.smarttransport.citytransport,2,2,0,0,0,2,5,0,0
2016-04-14,ru.smarttransport.citytransport,3,2,0,0,0,2,55,0,0
2016-04-14,ru.smarttransport.citytransport,4,28,0,0,0,28,638,0,0
2016-04-14,ru.smarttransport.citytransport,5,32,0,0,0,31,116,0,0
2016-04-14,ru.smarttransport.citytransport,6,435,9,2,0,425,609,8,2
2016-04-15,ru.smarttransport.citytransport,1,9,0,0,0,9,190,0,0
2016-04-15,ru.smarttransport.citytransport,2,2,0,0,0,2,5,0,0
2016-04-15,ru.smarttransport.citytransport,3,2,0,0,0,2,55,0,0
2016-04-15,ru.smarttransport.citytransport,4,28,0,0,0,28,638,0,0
2016-04-15,ru.smarttransport.citytransport,5,33,0,0,0,32,116,0,0
2016-04-15,ru.smarttransport.citytransport,6,434,3,4,0,424,612,3,4
2016-04-16,ru.smarttransport.citytransport,1,9,0,0,0,9,190,0,0
2016-04-16,ru.smarttransport.citytransport,2,2,0,0,0,2,5,0,0
2016-04-16,ru.smarttransport.citytransport,3,2,0,0,0,2,55,0,0
2016-04-16,ru.smarttransport.citytransport,4,28,0,0,0,28,638,0,0
2016-04-16,ru.smarttransport.citytransport,5,33,0,0,0,32,115,0,0
2016-04-16,ru.smarttransport.citytransport,6,444,11,4,1,435,624,11,3
2016-04-17,ru.smarttransport.citytransport,1,9,0,0,0,9,190,0,0
2016-04-17,ru.smarttransport.citytransport,2,2,0,0,0,2,5,0,0
2016-04-17,ru.smarttransport.citytransport,3,2,0,0,0,2,55,0,0
2016-04-17,ru.smarttransport.citytransport,4,28,0,0,0,28,638,0,0
2016-04-17,ru.smarttransport.citytransport,5,33,0,0,0,32,115,0,0
2016-04-17,ru.smarttransport.citytransport,6,447,9,7,0,438,633,9,7
2016-04-18,ru.smarttransport.citytransport,1,10,0,0,0,10,190,0,0
2016-04-18,ru.smarttransport.citytransport,2,2,0,0,0,2,5,0,0
2016-04-18,ru.smarttransport.citytransport,3,2,0,0,0,2,55,0,0
2016-04-18,ru.smarttransport.citytransport,4,28,0,0,0,28,638,0,0
2016-04-18,ru.smarttransport.citytransport,5,32,0,0,0,31,115,0,0
2016-04-18,ru.smarttransport.citytransport,6,446,5,5,0,436,637,4,5
2016-04-19,ru.smarttransport.citytransport,1,9,0,0,0,9,190,0,0
2016-04-19,ru.smarttransport.citytransport,2,2,0,0,0,2,5,0,0
2016-04-19,ru.smarttransport.citytransport,3,2,0,0,0,2,55,0,0
2016-04-19,ru.smarttransport.citytransport,4,28,0,0,0,28,638,0,0
2016-04-19,ru.smarttransport.citytransport,5,30,0,1,0,29,113,0,1
2016-04-19,ru.smarttransport.citytransport,6,457,10,2,2,447,649,10,2
